Username,Profile URL,Latitude,Longitude,Google Maps,Tweet
shirtlessrunner,https://twitter.com/shirtlessrunner,40.74999,-73.992149,"https://maps.google.com/?q=40.74999,-73.992149",b'#happy #nationaldoughnutday from @krispykreme #krispykremenyc #hotdoughnutsnow #freedoughnutsnow #doughnut? https://t.co/NcGZclsRf2'
robmarchesani,https://twitter.com/robmarchesani,40.74366807,-73.99661599,"https://maps.google.com/?q=40.74366807,-73.99661599",b'#georgefloyd\n#nonviolence\n#blacklivesmatter\n#reconciliation\n#libertyandjusticeforall @ Everywhere https://t.co/dyN1fPTxTu'
trafficgifs,https://twitter.com/trafficgifs,40.7291,-74.01052,"https://maps.google.com/?q=40.7291,-74.01052",b'West Street at West Houston Street https://t.co/ZSjEuMWceB'
NATASSIADREAMSX,https://twitter.com/NATASSIADREAMSX,40.7142,-74.0064,"https://maps.google.com/?q=40.7142,-74.0064",b'Real Friends stick with you through thick and thin https://t.co/4xMUYOn4FC ????????????????????#blacklivesmatter? https://t.co/4yPFCNS499'
DrewGasparini,https://twitter.com/DrewGasparini,40.7142,-74.0064,"https://maps.google.com/?q=40.7142,-74.0064","b'The world?s a stage. Find your light. Use your voice. @ New York, New York https://t.co/E11zm4AD7H'"
SarahRylee,https://twitter.com/SarahRylee,40.7142,-74.0064,"https://maps.google.com/?q=40.7142,-74.0064",b'A couple of my #favorite signs from #BLM protests.... \n.\n.\n#smalldickenergy #racist #racism #babydickenergy really.? https://t.co/d2iVqhPHQF'
TheGrnAdvocate,https://twitter.com/TheGrnAdvocate,40.7142,-74.0064,"https://maps.google.com/?q=40.7142,-74.0064",b'?Voting is the foundation stone for political action.? \n?\nDr. Martin Luther King Jr.\n?\nWe need to push for positive? https://t.co/3VpP36Wh9V'
agonasport,https://twitter.com/agonasport,40.7207559,-74.0007613,"https://maps.google.com/?q=40.7207559,-74.0007613",b'The second legs of the #GreekCup semi-finals will both be played on June 24. #ARISAEK #OLYPAOK  https://t.co/hjA9hzJaUj'
levtokyo,https://twitter.com/levtokyo,40.7142,-74.0064,"https://maps.google.com/?q=40.7142,-74.0064","b'GOOD MORNING !\nHere?s to more Happier, &amp; Better Times, Ahead !!\n#happytimesahead?? #bettertimeswillcome??? https://t.co/TMmEnWEu41'"
tim_mckee,https://twitter.com/tim_mckee,40.72135,-73.99502,"https://maps.google.com/?q=40.72135,-73.99502",b'Happy Birthday/Anniversary to @mothersruinnyc!! To many more. I have met so many great people at this bar!? https://t.co/vR7eNIodis'
chuchu5262003,https://twitter.com/chuchu5262003,40.7142,-74.0064,"https://maps.google.com/?q=40.7142,-74.0064",b'???? ?? ??? ??????\n\n????G ???I?\n?\n?\n#???#???#???#jangnara#narajang#jangnaramiracle\n#?????????? #JangNara \n#???????? https://t.co/ItPlcxJxXE'
dsepstein,https://twitter.com/dsepstein,40.7142,-74.0064,"https://maps.google.com/?q=40.7142,-74.0064","b'? Best little lady in the land ? @ New York, New York https://t.co/FgBMnLd4k0'"
RayTaylor,https://twitter.com/RayTaylor,40.7207559,-74.0007613,"https://maps.google.com/?q=40.7207559,-74.0007613",b'JRE on Spotify || Ray Taylor Show  https://t.co/OXa5jG5xEN'
DrayInTheCity,https://twitter.com/DrayInTheCity,40.7142,-74.0064,"https://maps.google.com/?q=40.7142,-74.0064",b'We are gonna start this day off with a word!  My Advice for those in dispute with the message....\nSay? https://t.co/tAx371SOED'
